Time,Data URI,Content
2025-05-29T16:27:14.000Z,/antares-cse/cin-I1cQpUyDffbBa0bSOMBbNrvnwiuOIAgb,"{""devUI"":""08:D1:F9:35:B5:48"",""time_at_device"":""2025-05-29 16:27:12"",""time_received_at_gateway"":""2025-05-29 16:27:14"",""time_send_from_gateway"":""2025-05-29 16:27:14.681"",""RSSI"":-43,""protocol"":""mqtt"",""voltage"":""231.00"",""current"":""0.37"",""power"":""70.20"",""energy"":""23.07"",""frequency"":""49.90"",""power_factor"":""0.82"",""packet_id"":""1575""}"
2025-05-29T16:27:16.000Z,/antares-cse/cin-hP6sGf4QNWFqYNmZ7kahPG04VGxXtd8K,"{""devUI"":""08:D1:F9:35:B5:48"",""time_at_device"":""2025-05-29 16:27:14"",""time_received_at_gateway"":""2025-05-29 16:27:15"",""time_send_from_gateway"":""2025-05-29 16:27:15.071"",""RSSI"":-45,""protocol"":""mqtt"",""voltage"":""230.90"",""current"":""0.32"",""power"":""60.20"",""energy"":""23.07"",""frequency"":""49.90"",""power_factor"":""0.80"",""packet_id"":""1576""}"
2025-05-29T16:27:17.000Z,/antares-cse/cin-r1DlrPXyWrXUUoL6FzjWzwNrWxpwG7MR,"{""devUI"":""08:D1:F9:35:B5:48"",""time_at_device"":""2025-05-29 16:27:15"",""time_received_at_gateway"":""2025-05-29 16:27:17"",""time_send_from_gateway"":""2025-05-29 16:27:17.433"",""RSSI"":-43,""protocol"":""mqtt"",""voltage"":""230.90"",""current"":""0.27"",""power"":""47.70"",""energy"":""23.07"",""frequency"":""49.90"",""power_factor"":""0.76"",""packet_id"":""1577""}"
2025-05-29T16:27:20.000Z,/antares-cse/cin-Bq8QWIO6Dk2oFa0ILcZQHBtv5qbo9P1N,"{""devUI"":""08:D1:F9:35:B5:48"",""time_at_device"":""2025-05-29 16:27:18"",""time_received_at_gateway"":""2025-05-29 16:27:20"",""time_send_from_gateway"":""2025-05-29 16:27:20.219"",""RSSI"":-41,""protocol"":""mqtt"",""voltage"":""230.70"",""current"":""0.30"",""power"":""53.40"",""energy"":""23.07"",""frequency"":""49.90"",""power_factor"":""0.77"",""packet_id"":""1579""}"
2025-05-29T16:27:21.000Z,/antares-cse/cin-FDZyxEoS0sZhJ7iKQGKRv0rYxOwSr6j3,"{""devUI"":""08:D1:F9:35:B5:48"",""time_at_device"":""2025-05-29 16:27:19"",""time_received_at_gateway"":""2025-05-29 16:27:21"",""time_send_from_gateway"":""2025-05-29 16:27:21.612"",""RSSI"":-43,""protocol"":""mqtt"",""voltage"":""231.10"",""current"":""0.27"",""power"":""48.30"",""energy"":""23.07"",""frequency"":""49.90"",""power_factor"":""0.76"",""packet_id"":""1580""}"
2025-05-29T16:27:23.000Z,/antares-cse/cin-UCk8beVTjD3Pymn6Jy1gfHVJlXalPNBa,"{""devUI"":""08:D1:F9:35:B5:48"",""time_at_device"":""2025-05-29 16:27:21"",""time_received_at_gateway"":""2025-05-29 16:27:22"",""time_send_from_gateway"":""2025-05-29 16:27:22.999"",""RSSI"":-43,""protocol"":""mqtt"",""voltage"":""230.90"",""current"":""0.26"",""power"":""45.40"",""energy"":""23.07"",""frequency"":""49.90"",""power_factor"":""0.74"",""packet_id"":""1581""}"
2025-05-29T16:27:24.000Z,/antares-cse/cin-ImhkxRQASXFxrnUp5oJiUXBsStFPzT4w,"{""devUI"":""08:D1:F9:35:B5:48"",""time_at_device"":""2025-05-29 16:27:22"",""time_received_at_gateway"":""2025-05-29 16:27:24"",""time_send_from_gateway"":""2025-05-29 16:27:24.350"",""RSSI"":-42,""protocol"":""mqtt"",""voltage"":""230.50"",""current"":""0.29"",""power"":""50.30"",""energy"":""23.07"",""frequency"":""49.90"",""power_factor"":""0.76"",""packet_id"":""1582""}"
2025-05-29T16:27:25.000Z,/antares-cse/cin-gFzDjTBgejrCIPh2qithHtPHmZnyTJ7J,"{""devUI"":""08:D1:F9:35:B5:48"",""time_at_device"":""2025-05-29 16:27:23"",""time_received_at_gateway"":""2025-05-29 16:27:25"",""time_send_from_gateway"":""2025-05-29 16:27:25.759"",""RSSI"":-44,""protocol"":""mqtt"",""voltage"":""230.60"",""current"":""0.28"",""power"":""48.90"",""energy"":""23.07"",""frequency"":""50.00"",""power_factor"":""0.77"",""packet_id"":""1583""}"
2025-05-29T16:27:27.000Z,/antares-cse/cin-LO9XcIxiLzw3qoYuYhCFMvfkGW9ADx6P,"{""devUI"":""08:D1:F9:35:B5:48"",""time_at_device"":""2025-05-29 16:27:25"",""time_received_at_gateway"":""2025-05-29 16:27:26"",""time_send_from_gateway"":""2025-05-29 16:27:26.136"",""RSSI"":-43,""protocol"":""mqtt"",""voltage"":""230.60"",""current"":""0.26"",""power"":""45.30"",""energy"":""23.07"",""frequency"":""49.90"",""power_factor"":""0.74"",""packet_id"":""1584""}"
2025-05-29T16:27:28.000Z,/antares-cse/cin-gjH5jGCv3CTgrLY5TWMqUBD663GWT9W4,"{""devUI"":""08:D1:F9:35:B5:48"",""time_at_device"":""2025-05-29 16:27:26"",""time_received_at_gateway"":""2025-05-29 16:27:28"",""time_send_from_gateway"":""2025-05-29 16:27:28.520"",""RSSI"":-42,""protocol"":""mqtt"",""voltage"":""230.60"",""current"":""0.26"",""power"":""45.60"",""energy"":""23.07"",""frequency"":""50.00"",""power_factor"":""0.75"",""packet_id"":""1585""}"
