jarak (m),rssi (dBm)
0.26666666666666666,-35
0.8,-29
1.0666666666666667,-29
1.6,-30
2.1333333333333333,-37
2.4,-35
2.9333333333333336,-41
3.7333333333333334,-47
4.266666666666667,-42
5.066666666666666,-42
5.333333333333333,-62
6.4,-60
6.666666666666667,-61
7.2,-63
8.0,-68
8.8,-65
9.333333333333334,-68
10.133333333333333,-69
10.666666666666666,-59
10.933333333333334,-62
11.466666666666667,-64
12.0,-63
12.8,-61
13.066666666666668,-61
13.6,-60
14.133333333333333,-64
14.4,-63
14.933333333333334,-67
15.466666666666667,-70
15.733333333333333,-64
16.266666666666666,-64
16.533333333333335,-67
17.066666666666666,-67
17.6,-68
17.866666666666667,-65
18.4,-67
18.666666666666668,-72
19.2,-73
19.73333333333333,-69
20.0,-76
20.533333333333335,-73
21.066666666666666,-71
21.333333333333332,-68
21.866666666666667,-69
22.133333333333336,-69
22.666666666666668,-71
23.2,-68
23.46666666666667,-75
24.0,-71
24.266666666666666,-77
24.8,-74
25.333333333333332,-74
25.6,-73
26.133333333333336,-78
26.4,-73
26.933333333333334,-72
27.46666666666667,-82
27.73333333333333,-74
28.266666666666666,-79
28.8,-72
29.066666666666666,-69
29.6,-77
29.866666666666667,-72
30.4,-73
30.933333333333334,-71
31.733333333333334,-79
32.53333333333333,-75
32.53333333333333,-79
33.06666666666667,-72
33.333333333333336,-82
34.4,-89
34.666666666666664,-74
35.2,-77
35.46666666666667,-86
36.0,-83
36.8,-82
37.6,-74
38.66666666666667,-78
38.93333333333334,-80
39.46666666666666,-87
39.733333333333334,-80
40.800000000000004,-74
41.06666666666667,-71
41.6,-67
42.13333333333333,-77
42.4,-83
42.93333333333333,-77
43.733333333333334,-72
44.26666666666667,-78
44.53333333333333,-77
45.06666666666666,-83
45.333333333333336,-81
45.86666666666667,-82
46.4,-76
46.66666666666667,-76
47.199999999999996,-78
48.0,-75
48.53333333333333,-82
48.800000000000004,-76
49.333333333333336,-83
50.13333333333333,-74
50.666666666666664,-80
50.93333333333333,-80
51.46666666666667,-74
52.0,-76
52.26666666666667,-73
52.8,-74
53.6,-79
54.13333333333333,-78
54.4,-73
54.93333333333334,-83
55.46666666666666,-73
56.266666666666666,-85
56.53333333333333,-81
57.06666666666667,-84
57.6,-78
58.4,-72
58.666666666666664,-74
59.2,-73
59.733333333333334,-73
60.0,-71
60.53333333333333,-73
60.8,-74
61.33333333333333,-72
61.86666666666667,-73
62.13333333333333,-76
62.666666666666664,-86
63.2,-87
63.46666666666667,-90
64.26666666666667,-80
64.8,-78
65.33333333333333,-77
65.60000000000001,-77
66.13333333333334,-87
66.93333333333334,-77
67.46666666666665,-80
67.73333333333333,-76
68.26666666666667,-79
68.8,-82
69.06666666666666,-80
69.86666666666666,-85
70.93333333333334,-84
71.2,-80
71.73333333333333,-88
72.53333333333333,-84
73.06666666666666,-84
73.33333333333333,-81
74.39999999999999,-85
74.66666666666667,-79
111.19999999999999,-83
111.73333333333333,-84
112.0,-84
113.06666666666666,-84
113.86666666666667,-84
114.4,-85
115.2,-84
116.0,-84
116.53333333333333,-84
116.8,-84
117.33333333333333,-84
118.66666666666667,-93
118.93333333333334,-83
119.73333333333333,-86
120.26666666666667,-81
121.06666666666666,-91
121.6,-91
122.13333333333333,-86
122.93333333333334,-89
123.2,-91
123.73333333333333,-88
124.26666666666667,-89
124.53333333333333,-88
125.06666666666666,-85
125.33333333333333,-91
125.86666666666666,-82
126.4,-85
126.66666666666667,-85
127.2,-87
128.0,-89
128.8,-90
129.33333333333331,-84
129.86666666666665,-87
130.13333333333333,-87
130.66666666666666,-85
131.46666666666667,-88
132.0,-85
132.8,-80
133.06666666666666,-82
134.13333333333333,-81
134.4,-84
134.9333333333333,-85
135.46666666666667,-87
135.73333333333335,-85
136.26666666666668,-90
136.53333333333333,-82
137.06666666666666,-84
138.4,-91
138.66666666666666,-84
139.2,-88
139.73333333333332,-90
140.0,-88
140.53333333333333,-91
141.33333333333334,-91
142.13333333333333,-88
142.66666666666666,-86
143.2,-86
143.46666666666667,-86
144.26666666666665,-83
144.8,-89
145.33333333333334,-88
145.6,-89
146.66666666666666,-92
146.93333333333334,-95
147.46666666666667,-96
147.73333333333332,-95
148.26666666666665,-91
148.79999999999998,-88
149.06666666666666,-87
149.60000000000002,-91
150.4,-86
151.2,-90
152.26666666666665,-89
152.53333333333333,-90
153.06666666666666,-89
153.33333333333331,-90
153.86666666666667,-93
154.4,-95
154.66666666666669,-87
156.0,-93
156.53333333333333,-88
156.79999999999998,-91
157.33333333333331,-88
157.6,-90
158.13333333333333,-87
158.66666666666669,-89
158.93333333333334,-86
159.46666666666667,-85
160.0,-87
160.26666666666668,-90
161.06666666666666,-89
161.6,-88
162.39999999999998,-89
162.93333333333334,-87
163.20000000000002,-92
163.73333333333335,-92
164.26666666666668,-90
164.53333333333333,-88
165.06666666666666,-89
165.33333333333334,-85
165.86666666666667,-85
166.66666666666666,-85
167.2,-86
168.0,-88
168.8,-86
169.33333333333334,-88
169.86666666666667,-94
170.13333333333333,-84
170.66666666666666,-87
170.93333333333334,-84
171.46666666666667,-88
172.0,-88
172.26666666666668,-84
172.8,-84
173.33333333333334,-87
173.6,-88
174.4,-86
174.93333333333334,-85
175.46666666666667,-88
175.73333333333332,-84
176.26666666666665,-84
176.53333333333333,-83
177.0666666666667,-85
177.6,-87
177.86666666666667,-83
178.4,-85
178.66666666666666,-88
179.2,-86
179.73333333333332,-87
180.0,-89
181.06666666666666,-82
181.33333333333334,-84
181.86666666666667,-85
182.13333333333335,-88
183.2,-86
183.46666666666667,-88
184.0,-90
184.26666666666665,-85
201.06666666666666,-89
201.6,-88
202.13333333333333,-88
203.2,-89
203.73333333333332,-87
204.26666666666668,-88
204.53333333333333,-89
205.86666666666667,-98
206.4,-96
206.66666666666666,-95
207.2,-97
208.0,-96
208.8,-94
209.33333333333334,-95
210.13333333333333,-100
211.2,-95
211.2,-101
211.46666666666667,-100
212.0,-95
212.26666666666665,-95
212.79999999999998,-100
213.33333333333334,-94
214.4,-100
214.93333333333334,-95
215.46666666666667,-92
216.26666666666665,-100
218.4,-97
218.66666666666669,-94
219.20000000000002,-98
220.0,-93
221.06666666666666,-97
221.33333333333331,-95
221.86666666666665,-97
222.13333333333333,-99
222.66666666666669,-92
223.20000000000002,-95
223.46666666666667,-99
224.8,-94
225.33333333333334,-92
225.6,-92
226.13333333333333,-92
226.66666666666666,-94
226.9333333333333,-98
227.46666666666667,-102
227.73333333333335,-97
228.26666666666668,-94
228.8,-93
229.06666666666666,-94
229.6,-92
229.86666666666667,-93
230.93333333333334,-91
231.2,-97
232.26666666666668,-99
232.53333333333333,-100
233.33333333333334,-94
233.86666666666667,-101
234.4,-94
234.66666666666666,-95
235.2,-96
235.46666666666667,-101
236.0,-92
236.53333333333333,-92
236.8,-99
237.6,-96
238.13333333333333,-100
238.93333333333334,-91
240.0,-89
240.26666666666665,-88
240.79999999999998,-89
241.0666666666667,-91
241.60000000000002,-92
242.13333333333333,-91
243.2,-89
243.73333333333332,-87
244.26666666666665,-90
244.53333333333333,-91
245.60000000000002,-90
245.86666666666667,-93
246.4,-88
247.20000000000002,-94
248.0,-90
248.79999999999998,-91
249.33333333333331,-90
249.86666666666665,-88
250.13333333333333,-92
250.93333333333334,-91
251.46666666666667,-90
252.0,-90
252.26666666666665,-91
253.6,-90
254.93333333333334,-92
255.46666666666667,-93
255.73333333333332,-91
256.53333333333336,-92
257.06666666666666,-93
257.6,-93
257.8666666666667,-92
258.40000000000003,-92
258.66666666666663,-91
259.2,-91
259.7333333333333,-91
260.0,-92
260.53333333333336,-92
261.06666666666666,-93
261.3333333333333,-92
261.8666666666667,-92
262.1333333333333,-90
262.6666666666667,-91
263.2,-92
263.4666666666667,-92
264.0,-94
264.26666666666665,-91
264.79999999999995,-94
266.1333333333333,-94
267.73333333333335,-95
268.8,-94
269.6,-94
270.4,-95
270.93333333333334,-94
272.0,-94
272.53333333333336,-94
273.06666666666666,-94
273.8666666666667,-93
275.4666666666667,-96
276.0,-94
276.53333333333336,-94
278.1333333333333,-94
312.2666666666667,-99
312.5333333333333,-95
