jarak_meter,rata_rssi,jumlah_data,jumlah_invalid_data,persentase_invalid_data,kategori
0,-45.5,2,0,0.0,Start/Finish
1,-42.75,4,0,0.0,Main Route
2,-40.75,4,0,0.0,Main Route
3,-48.5,2,0,0.0,Main Route
4,-50.0,4,0,0.0,Main Route
5,-53.67,3,0,0.0,Main Route
6,-57.33,3,0,0.0,Main Route
7,-60.33,3,0,0.0,Main Route
8,-63.0,3,0,0.0,Main Route
9,-63.67,3,0,0.0,Main Route
10,-65.5,2,0,0.0,Main Route
11,-63.0,4,0,0.0,Main Route
12,-63.67,3,0,0.0,Main Route
13,-61.0,4,0,0.0,Main Route
14,-63.2,5,0,0.0,Main Route
15,-68.75,4,0,0.0,Main Route
16,-65.0,4,0,0.0,Main Route
17,-64.75,4,0,0.0,Main Route
18,-66.6,5,0,0.0,Main Route
19,-71.0,3,0,0.0,Main Route
20,-70.0,4,0,0.0,Main Route
21,-71.83,6,0,0.0,Main Route
22,-70.0,4,0,0.0,Main Route
23,-69.8,5,0,0.0,Main Route
24,-71.33,3,0,0.0,Main Route
25,-74.67,3,0,0.0,Main Route
26,-73.5,4,0,0.0,Main Route
27,-76.0,4,0,0.0,Main Route
28,-77.67,3,0,0.0,Main Route
29,-72.67,3,0,0.0,Main Route
30,-76.0,5,0,0.0,Main Route
31,-72.5,2,0,0.0,Main Route
32,-79.0,3,0,0.0,Main Route
33,-76.2,5,0,0.0,Main Route
34,-78.33,3,0,0.0,Main Route
35,-76.0,5,0,0.0,Main Route
36,-73.67,3,0,0.0,Main Route
37,-75.5,2,0,0.0,Main Route
38,-74.0,1,0,0.0,Main Route
39,-81.67,3,0,0.0,Main Route
40,-80.0,1,0,0.0,Main Route
41,-72.5,2,0,0.0,Main Route
42,-75.67,3,0,0.0,Main Route
43,-77.0,1,0,0.0,Main Route
44,-75.0,2,0,0.0,Main Route
45,-80.33,3,0,0.0,Main Route
46,-79.0,2,0,0.0,Main Route
47,-77.0,2,0,0.0,Main Route
48,-75.0,1,0,0.0,Main Route
49,-80.33,3,0,0.0,Main Route
50,-74.0,1,0,0.0,Main Route
51,-78.0,3,0,0.0,Main Route
52,-74.5,2,0,0.0,Main Route
53,-74.0,1,0,0.0,Main Route
54,-76.67,3,0,0.0,Main Route
55,-78.0,2,0,0.0,Main Route
56,-85.0,1,0,0.0,Main Route
57,-82.5,2,0,0.0,Main Route
58,-75.0,2,0,0.0,Main Route
59,-73.5,2,0,0.0,Main Route
60,-75.67,3,0,0.0,Main Route
61,-77.4,5,0,0.0,Main Route
62,-77.33,3,0,0.0,Main Route
63,-87.0,4,0,0.0,Main Route
64,-84.0,3,0,0.0,Main Route
65,-79.33,3,0,0.0,Main Route
66,-82.33,3,0,0.0,Main Route
67,-81.75,4,0,0.0,Main Route
68,-81.0,3,0,0.0,Main Route
69,-85.75,4,0,0.0,Main Route
70,-84.0,2,0,0.0,Main Route
71,-82.33,3,0,0.0,Main Route
72,-87.67,3,1,33.33,Main Route
73,-83.6,5,0,0.0,Main Route
74,-85.67,3,0,0.0,Main Route
75,-82.5,2,0,0.0,Main Route
76,-81.0,1,0,0.0,Main Route
77,-85.0,1,0,0.0,Main Route
78,-84.0,1,0,0.0,Main Route
79,-82.0,1,0,0.0,Main Route
80,-82.5,2,0,0.0,Main Route
81,-76.5,2,0,0.0,Main Route
82,-79.0,1,0,0.0,Main Route
83,-79.0,2,0,0.0,Main Route
84,-78.5,2,0,0.0,Main Route
85,-79.0,2,0,0.0,Main Route
86,-78.5,2,0,0.0,Main Route
87,-79.5,2,0,0.0,Main Route
88,-78.5,2,0,0.0,Main Route
89,-79.0,1,0,0.0,Main Route
90,-80.0,2,0,0.0,Main Route
91,-80.33,3,0,0.0,Main Route
92,-79.0,1,0,0.0,Main Route
93,-78.0,2,0,0.0,Main Route
94,-77.33,3,0,0.0,Main Route
95,-78.0,2,0,0.0,Main Route
96,-81.0,2,0,0.0,Main Route
97,-76.0,1,0,0.0,Main Route
98,-82.0,2,0,0.0,Main Route
99,-84.5,2,0,0.0,Main Route
100,-79.5,2,0,0.0,Main Route
101,-79.0,1,0,0.0,Main Route
102,-80.0,1,0,0.0,Main Route
103,-80.67,3,0,0.0,Main Route
104,-79.5,2,0,0.0,Main Route
105,-79.0,1,0,0.0,Main Route
106,-78.5,2,0,0.0,Main Route
107,-77.5,2,0,0.0,Main Route
108,-79.0,2,0,0.0,Main Route
109,-80.0,2,0,0.0,Main Route
110,-82.0,2,0,0.0,Main Route
111,-81.0,3,0,0.0,Main Route
112,-82.0,3,0,0.0,Main Route
113,-80.5,4,0,0.0,Main Route
114,-82.25,4,0,0.0,Main Route
115,-82.5,2,0,0.0,Main Route
116,-82.0,3,0,0.0,Main Route
117,-82.8,5,0,0.0,Main Route
118,-81.5,2,0,0.0,Main Route
119,-84.5,4,0,0.0,Main Route
120,-83.2,5,0,0.0,Main Route
121,-89.5,2,0,0.0,Main Route
122,-88.5,2,0,0.0,Main Route
123,-83.8,5,1,20.0,Main Route
124,-85.0,3,0,0.0,Main Route
125,-85.6,5,0,0.0,Main Route
126,-81.67,3,0,0.0,Main Route
